Unnamed: 0,cas,src,target,ts,label,e_idx
0,0,10.1103/PhysRev.21.483,10.1103/PhysRev.22.233,123,27,2
1,0,10.1103/PhysRev.22.233,10.1103/PhysRev.23.128,276,27,2
2,0,10.1103/PhysRev.22.233,10.1103/PhysRev.23.313,305,27,2
3,0,10.1103/PhysRev.22.233,10.1103/PhysRev.26.433,884,27,2
4,0,10.1103/PhysRev.21.483,10.1103/PhysRev.22.409,184,27,3
5,0,10.1103/PhysRev.22.409,10.1103/PhysRev.26.300,854,27,3
6,0,10.1103/PhysRev.22.409,10.1103/PhysRev.26.655,915,27,3
7,0,10.1103/PhysRev.21.483,10.1103/PhysRev.23.128,276,27,4
8,0,10.1103/PhysRev.21.483,10.1103/PhysRev.23.313,305,27,5
9,0,10.1103/PhysRev.21.483,10.1103/PhysRev.24.591,580,27,6
10,0,10.1103/PhysRev.21.483,10.1103/PhysRev.25.314,670,27,7
11,0,10.1103/PhysRev.25.314,10.1103/PhysRev.25.723,762,27,7
12,0,10.1103/PhysRev.25.314,10.1103/PhysRev.26.300,854,27,7
13,0,10.1103/PhysRev.25.314,10.1103/PhysRev.26.433,884,27,7
14,0,10.1103/PhysRev.21.483,10.1103/PhysRev.25.723,762,27,8
15,0,10.1103/PhysRev.21.483,10.1103/PhysRev.26.300,854,27,9
16,0,10.1103/PhysRev.21.483,10.1103/PhysRev.26.433,884,27,10
17,0,10.1103/PhysRev.21.483,10.1103/PhysRev.26.655,915,27,11
18,1,10.1103/PhysRev.25.314,10.1103/PhysRev.25.723,92,26,2
19,1,10.1103/PhysRev.25.723,10.1103/PhysRev.27.119,337,26,2
20,1,10.1103/PhysRev.25.723,10.1103/PhysRev.27.675,457,26,2
21,1,10.1103/PhysRev.25.723,10.1103/PhysRev.27.687,457,26,2
22,1,10.1103/PhysRev.25.723,10.1103/PhysRev.28.620,579,26,2
23,1,10.1103/PhysRev.25.723,10.1103/PhysRev.29.757,822,26,2
24,1,10.1103/PhysRev.25.314,10.1103/PhysRev.26.300,184,26,3
25,1,10.1103/PhysRev.26.300,10.1103/PhysRev.27.119,337,26,3
26,1,10.1103/PhysRev.26.300,10.1103/PhysRev.27.687,457,26,3
27,1,10.1103/PhysRev.25.314,10.1103/PhysRev.26.433,214,26,4
28,1,10.1103/PhysRev.26.433,10.1103/PhysRev.29.757,822,26,4
29,1,10.1103/PhysRev.25.314,10.1103/PhysRev.27.119,337,26,5
30,1,10.1103/PhysRev.27.119,10.1103/PhysRev.27.675,457,26,5
31,1,10.1103/PhysRev.27.119,10.1103/PhysRev.27.687,457,26,5
32,1,10.1103/PhysRev.27.119,10.1103/PhysRev.29.757,822,26,5
33,1,10.1103/PhysRev.25.314,10.1103/PhysRev.27.362,396,26,6
34,1,10.1103/PhysRev.25.314,10.1103/PhysRev.27.675,457,26,7
35,1,10.1103/PhysRev.27.675,10.1103/PhysRev.27.687,457,26,7
36,1,10.1103/PhysRev.27.675,10.1103/PhysRev.28.620,579,26,7
37,1,10.1103/PhysRev.27.675,10.1103/PhysRev.29.757,822,26,7
38,1,10.1103/PhysRev.25.314,10.1103/PhysRev.27.687,457,26,8
39,1,10.1103/PhysRev.27.687,10.1103/PhysRev.28.620,579,26,8
40,1,10.1103/PhysRev.27.687,10.1103/PhysRev.29.757,822,26,8
41,1,10.1103/PhysRev.25.314,10.1103/PhysRev.28.620,579,26,9
42,1,10.1103/PhysRev.28.620,10.1103/PhysRev.29.757,822,26,9
43,1,10.1103/PhysRev.25.314,10.1103/PhysRev.29.757,822,26,10
44,2,10.1103/PhysRev.25.452,10.1103/PhysRev.26.44,91,33,2
45,2,10.1103/PhysRev.26.44,10.1103/PhysRev.26.786,244,33,2
46,2,10.1103/PhysRev.26.44,10.1103/PhysRev.27.216,306,33,2
47,2,10.1103/PhysRev.26.44,10.1103/PhysRev.27.732,426,33,2
48,2,10.1103/PhysRev.26.44,10.1103/PhysRev.28.1223,609,33,2
49,2,10.1103/PhysRev.26.44,10.1103/PhysRev.29.830,791,33,2
50,2,10.1103/PhysRev.26.44,10.1103/PhysRev.30.26,821,33,2
51,2,10.1103/PhysRev.26.44,10.1103/PhysRev.30.11,821,33,2
52,2,10.1103/PhysRev.26.44,10.1103/PhysRev.30.614,944,33,2
53,2,10.1103/PhysRev.26.44,10.1103/PhysRev.31.52,1005,33,2
54,2,10.1103/PhysRev.25.452,10.1103/PhysRev.26.360,153,33,3
55,2,10.1103/PhysRev.26.360,10.1103/PhysRev.30.614,944,33,3
56,2,10.1103/PhysRev.25.452,10.1103/PhysRev.26.537,214,33,4
57,2,10.1103/PhysRev.25.452,10.1103/PhysRev.26.614,214,33,5
58,2,10.1103/PhysRev.26.614,10.1103/PhysRev.30.614,944,33,5
59,2,10.1103/PhysRev.25.452,10.1103/PhysRev.26.786,244,33,6
60,2,10.1103/PhysRev.26.786,10.1103/PhysRev.27.732,426,33,6
61,2,10.1103/PhysRev.26.786,10.1103/PhysRev.29.683,760,33,6
62,2,10.1103/PhysRev.26.786,10.1103/PhysRev.29.830,791,33,6
63,2,10.1103/PhysRev.26.786,10.1103/PhysRev.30.26,821,33,6
64,2,10.1103/PhysRev.26.786,10.1103/PhysRev.30.614,944,33,6
65,2,10.1103/PhysRev.25.452,10.1103/PhysRev.27.216,306,33,7
66,2,10.1103/PhysRev.27.216,10.1103/PhysRev.28.1223,609,33,7
67,2,10.1103/PhysRev.25.452,10.1103/PhysRev.27.732,426,33,8
68,2,10.1103/PhysRev.27.732,10.1103/PhysRev.28.1242,609,33,8
69,2,10.1103/PhysRev.27.732,10.1103/PhysRev.30.26,821,33,8
70,2,10.1103/PhysRev.27.732,10.1103/PhysRev.30.614,944,33,8
71,2,10.1103/PhysRev.25.452,10.1103/PhysRev.27.739,426,33,9
72,2,10.1103/PhysRev.25.452,10.1103/PhysRev.28.1223,609,33,10
73,2,10.1103/PhysRev.25.452,10.1103/PhysRev.28.1242,609,33,11
74,2,10.1103/PhysRev.25.452,10.1103/PhysRev.29.683,760,33,12
75,2,10.1103/PhysRev.29.683,10.1103/PhysRev.29.830,791,33,12
76,2,10.1103/PhysRev.25.452,10.1103/PhysRev.29.830,791,33,13
77,2,10.1103/PhysRev.25.452,10.1103/PhysRev.30.26,821,33,14
78,2,10.1103/PhysRev.30.26,10.1103/PhysRev.30.614,944,33,14
79,2,10.1103/PhysRev.25.452,10.1103/PhysRev.30.11,821,33,15
80,2,10.1103/PhysRev.25.452,10.1103/PhysRev.30.614,944,33,16
81,2,10.1103/PhysRev.25.452,10.1103/PhysRev.31.52,1005,33,17
82,3,10.1103/PhysRev.26.44,10.1103/PhysRev.26.786,153,19,2
83,3,10.1103/PhysRev.26.786,10.1103/PhysRev.27.732,335,19,2
84,3,10.1103/PhysRev.26.786,10.1103/PhysRev.29.830,700,19,2
85,3,10.1103/PhysRev.26.786,10.1103/PhysRev.30.26,730,19,2
86,3,10.1103/PhysRev.26.786,10.1103/PhysRev.30.614,853,19,2
87,3,10.1103/PhysRev.26.44,10.1103/PhysRev.27.216,215,19,3
88,3,10.1103/PhysRev.27.216,10.1103/PhysRev.28.1223,518,19,3
89,3,10.1103/PhysRev.26.44,10.1103/PhysRev.27.732,335,19,4
90,3,10.1103/PhysRev.27.732,10.1103/PhysRev.30.26,730,19,4
91,3,10.1103/PhysRev.27.732,10.1103/PhysRev.30.614,853,19,4
92,3,10.1103/PhysRev.26.44,10.1103/PhysRev.28.1223,518,19,5
93,3,10.1103/PhysRev.26.44,10.1103/PhysRev.29.830,700,19,6
94,3,10.1103/PhysRev.26.44,10.1103/PhysRev.30.26,730,19,7
95,3,10.1103/PhysRev.30.26,10.1103/PhysRev.30.614,853,19,7
96,3,10.1103/PhysRev.26.44,10.1103/PhysRev.30.11,730,19,8
97,3,10.1103/PhysRev.26.44,10.1103/PhysRev.30.614,853,19,9
98,3,10.1103/PhysRev.26.44,10.1103/PhysRev.31.52,914,19,10
99,4,10.1103/PhysRev.26.786,10.1103/PhysRev.27.732,182,17,2
