Unnamed: 0,cas,src,target,ts,label,e_idx
2,1,146,162102,1984,4,1
8,2,188,479177,1988,6,3
11,2,188,454029,1989,6,6
16,3,225,448143,1990,17,5
17,3,225,463765,1990,17,6
23,3,225,466472,1989,17,12
28,3,225,619911,1977,17,17
29,4,289,561772,1990,5,1
31,4,289,158918,1988,5,3
40,6,302,478674,1989,17,2
41,6,302,317091,1978,17,3
46,6,302,486540,1989,17,8
49,6,302,482110,1989,17,11
54,6,302,474856,1990,17,16
55,6,302,464393,1988,17,17
67,7,329,440852,1990,18,12
69,7,329,320638,1980,18,14
79,9,349,273414,1985,3,2
91,12,382,454046,1990,29,6
94,12,382,160527,1987,29,9
98,12,382,148820,1985,29,13
109,12,382,477327,1989,29,24
112,12,382,160709,1986,29,27
117,13,399,314055,1962,5,3
118,13,399,433139,1982,5,4
119,13,399,332851,1970,5,5
120,14,430,106382,1988,1,1
121,15,452,365438,1989,3,1
133,19,524,457106,1990,6,1
138,19,524,478244,1988,6,6
140,21,567,524098,1990,24,1
141,21,567,171678,1987,24,2
143,21,567,552491,1983,24,4
154,21,567,472401,1989,24,15
157,21,567,321817,1984,24,18
160,21,567,155382,1987,24,21
167,23,592,321525,1969,5,2
173,25,642,472721,1990,2,2
180,27,664,314043,1964,3,3
187,29,704,147509,1986,4,3
189,30,715,481213,1988,10,1
198,30,715,160011,1986,10,10
202,32,768,322982,1963,5,1
205,32,768,148966,1986,5,4
210,34,791,532977,1990,7,3
217,35,813,174901,1986,9,3
225,36,826,455664,1990,8,2
236,38,912,552491,1983,6,2
240,38,912,472401,1989,6,6
246,39,923,486310,1990,6,6
248,40,940,459963,1989,5,2
250,40,940,320203,1976,5,4
253,41,948,183213,1986,4,2
258,43,990,475065,1988,3,2
261,44,1004,233121,1982,4,2
263,44,1004,247114,1975,4,4
271,45,1013,168340,1987,8,8
272,46,1019,453387,1990,4,1
276,47,1045,453917,1990,2,1
290,49,1086,157979,1986,3,3
293,50,1116,483276,1989,12,3
296,50,1116,551334,1976,12,6
297,50,1116,175528,1988,12,7
298,50,1116,481257,1989,12,8
307,51,1170,307468,1975,5,5
311,52,1188,319433,1969,6,4
313,52,1188,311624,1973,6,6
323,54,1228,180300,1987,10,3
327,54,1228,150942,1986,10,7
336,56,1453,472939,1989,5,5
341,57,1482,522052,1987,5,5
343,58,1555,248496,1988,3,2
345,59,1577,321808,1964,16,1
346,59,1577,548712,1983,16,2
355,59,1577,452125,1988,16,11
356,59,1577,320173,1958,16,12
359,59,1577,367738,1985,16,15
360,59,1577,182344,1986,16,16
364,60,1587,313828,1980,5,4
365,60,1587,234766,1987,5,5
371,63,1633,177945,1988,11,1
373,63,1633,458894,1988,11,3
380,63,1633,457472,1988,11,10
400,65,1761,453387,1990,9,9
402,66,1804,566409,1990,9,2
408,66,1804,368076,1988,9,8
432,72,1928,561639,1989,4,1
433,72,1928,465015,1988,4,2
445,74,1982,547007,1961,14,4
448,74,1982,180652,1984,14,7
451,74,1982,552132,1979,14,10
452,74,1982,321707,1966,14,11
454,74,1982,548325,1974,14,13
455,74,1982,553570,1981,14,14
457,75,2013,143604,1986,6,2
458,75,2013,252500,1976,6,3
460,75,2013,483890,1989,6,5
